eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2023,143500.26,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2000,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2001,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2002,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2003,199.26,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2004,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2005,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2006,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2007,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2008,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2009,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2010,3,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2011,2263.45,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2012,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2013,79,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2014,2.69,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2015,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2016,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2017,2574.26,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2018,3529.95,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2019,1426.64,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2020,11740.02,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2021,2,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2022,17350.13,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2023,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2000,56149.52,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2001,48895.99,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2002,9230.77,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2003,13736.84,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2004,280.19,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2005,0.26,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2006,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2007,10137.53,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2008,382.96,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2009,2406.05,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2010,1,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2011,253.02,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2012,1843.94,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2013,163.83,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2014,2,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2015,7,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2016,9,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2017,3308.78,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2018,19.87,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2019,141,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2020,10265.45,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2021,886.25,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2022,3918.53,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2023,2740.7,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2000,7910.12,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2001,2079.72,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2002,2399.86,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2003,17144.78,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2004,2265.43,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2005,8.98,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2006,35.43,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2007,3575.27,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2008,6.67,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2009,5,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2010,2.03,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2011,28,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2012,4355.62,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2013,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2014,167.67,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2015,4805.64,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2016,14.54,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2017,3893.12,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2018,20716.56,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2019,7974.78,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2020,1365.87,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2021,24,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2022,4586.79,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2023,212.29,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2000,104.29,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2001,3,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2002,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2003,163.79,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2004,291.06,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2005,185.31,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2006,156.31,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2007,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2008,576.67,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2009,614.51,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2010,10.71,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2011,85.07,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2012,28.13,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2013,620.67,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2014,41.7,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2015,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2016,7.68,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2017,4.3,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2018,19698.07,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2019,1347.09,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2020,337.32,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2021,513,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2022,3656.87,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2023,733.04,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2000,155.89,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2001,40.68,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2002,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2003,48367,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2004,1819.87,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2005,32.79,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2006,125.18,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2007,136.77,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2008,6,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2009,235.83,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2010,3.97,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2011,10346.59,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2012,1384.46,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2013,6,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2014,794.57,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2015,5453.79,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2016,325.23,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2017,1774.34,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2018,70420.84,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2019,62549.59,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2020,54655.36,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2021,345.41,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2022,64135.74,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2023,813.03,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2000,102.74,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2001,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2002,4219.88,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2003,1220.81,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2004,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2005,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2006,31570.87,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2007,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2008,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2009,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2010,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2011,0.08,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2012,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2013,4.12,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2014,1,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2015,153.04,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2016,142.58,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2017,164.83,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2018,13593.13,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2019,3388,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2020,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2021,3919.15,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2022,2043.82,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2023,6721.37,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2000,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2001,0.96,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2002,1,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2003,1123.05,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2004,9,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2005,1,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2006,188.28,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2007,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2008,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2009,2,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2010,3,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2011,1,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2012,1.17,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2013,660.45,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2014,185.55,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2015,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2016,0.49,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2017,23.47,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2018,987.12,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2019,23,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2020,37,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2021,241.25,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2022,4956.34,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2023,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2000,30840.74,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2001,15421.66,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2002,477.56,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2003,66.86,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2004,13.3,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2005,22,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2006,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2007,13042.76,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2008,6888.46,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2009,165,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2010,1032.92,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2011,98.56,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2012,5571.56,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2013,616.23,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2014,200.91,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2015,14.42,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2016,9334.72,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2017,5639.49,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2018,3407.41,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2019,701.73,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2020,1669.75,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2021,8629.69,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2022,7293.71,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2023,1986.7,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2000,17630.69,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2001,6874.09,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2002,12161.25,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2003,5969.58,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2004,18.97,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2005,150094.55,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2006,8673.46,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2007,850.54,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2008,4660.16,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2009,38108.38,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2010,778.54,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2011,8220.6,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2012,156588.83,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2013,112.55,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2014,16743.91,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2015,9365.03,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2016,22788.28,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2017,27811.54,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2018,1800.97,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2019,29703.59,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2020,134.23,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2021,3724.99,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2022,56775.99,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2023,34265.8,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2000,69.48,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2001,275.21,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2002,3419.75,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2003,93871.32,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2004,1938.36,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2005,14731.16,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2006,1183.32,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2007,1529.15,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2008,2939.32,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2009,1279.74,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2010,6046.97,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2011,62740.47,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2012,9884.88,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2013,0.1,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2014,563.67,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2015,345.92,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2016,2211.79,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2017,22529.97,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2018,977.17,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2019,52532.6,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2020,41617.41,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2021,1700.43,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2022,240139.86,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2023,10368.42,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2000,6304.5,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2001,15.74,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2002,60.22,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2003,18516.2,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2004,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2005,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2006,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2007,223.97,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2008,1.66,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2009,61.71,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2010,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2011,3741,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2012,18344.1,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2013,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2014,2,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2015,472.3,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2016,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2017,4637.03,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2018,14.42,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2019,36.62,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2020,1072.86,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2021,1725.41,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2022,17778.6,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2023,30.69,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2000,17617.12,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2001,14732.09,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2002,26466.88,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2003,12427.48,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2004,725.59,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2005,1781.92,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2006,4980.23,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2007,17228.13,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2008,12114,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2009,951,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2010,863.59,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2011,3893.44,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2012,27877.47,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2013,590.08,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2014,663.3,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2015,2341.81,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2016,6543.3,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2017,50081.36,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2018,2401.32,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2019,1729.72,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2020,4729.01,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2021,11186.91,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2022,53925.45,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2023,5431.55,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2000,55.89,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2001,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2002,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2003,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2004,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2005,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2006,49.65,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2007,5,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2008,3711.77,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2009,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2010,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2011,6.76,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2012,0,
