Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1981","1981","t","1025011","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1982","1982","ha","289090","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1982","1982","kg/ha","4276.7","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1982","1982","t","1236355","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1983","1983","ha","312883","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1983","1983","kg/ha","4530","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1983","1983","t","1417365","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1984","1984","ha","315126","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1984","1984","kg/ha","4763.2","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1984","1984","t","1501000","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1985","1985","ha","319837","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1985","1985","kg/ha","4886.2","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1985","1985","t","1562776","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1986","1986","ha","324415","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1986","1986","kg/ha","4360.5","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1986","1986","t","1414599","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1987","1987","ha","320366","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1987","1987","kg/ha","4528.4","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1987","1987","t","1450734","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1988","1988","ha","291938","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1988","1988","kg/ha","5343.6","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1988","1988","t","1559993","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1989","1989","ha","278068","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1989","1989","kg/ha","4901.5","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1989","1989","t","1362951","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1990","1990","ha","278226","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1990","1990","kg/ha","5047.9","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1990","1990","t","1404468","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1991","1991","ha","271068","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1991","1991","kg/ha","5073.5","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1991","1991","t","1375253","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1992","1992","ha","245728","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1992","1992","kg/ha","5393.8","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1992","1992","t","1325401","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1993","1993","ha","240971","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1993","1993","kg/ha","4224.6","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1993","1993","t","1018013","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1994","1994","ha","240961","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1994","1994","kg/ha","5208.8","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1994","1994","t","1255122","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1995","1995","ha","255910","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1995","1995","kg/ha","5085.6","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1995","1995","t","1301445","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1996","1996","ha","247602","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1996","1996","kg/ha","5006.9","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1996","1996","t","1239723","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1997","1997","ha","259832","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1997","1997","kg/ha","5204.4","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1997","1997","t","1352281","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1998","1998","ha","264405","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1998","1998","kg/ha","5074.9","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1998","1998","t","1341820","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1999","1999","ha","260579","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1999","1999","kg/ha","5434.8","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1999","1999","t","1416200","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2000","2000","ha","293806","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2000","2000","kg/ha","4468.8","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2000","2000","t","1312962","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2001","2001","ha","287777","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2001","2001","kg/ha","5241.2","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2001","2001","t","1508283","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2002","2002","ha","288764","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2002","2002","kg/ha","4966.7","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2002","2002","t","1434208.07","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2003","2003","ha","272001","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2003","2003","kg/ha","4380.1","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2003","2003","t","1191380","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2004","2004","ha","290174","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2004","2004","kg/ha","5923.4","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2004","2004","t","1718825.23","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2005","2005","ha","288960","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2005","2005","kg/ha","5028.6","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2005","2005","t","1453072","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2006","2006","ha","284577","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2006","2006","kg/ha","4906.6","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2006","2006","t","1396300","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2007","2007","ha","292976","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2007","2007","kg/ha","4776.3","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2007","2007","t","1399341","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2008","2008","ha","296775","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2008","2008","kg/ha","5693.5","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2008","2008","t","1689688","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2009","2009","ha","309034","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2009","2009","kg/ha","4929.5","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2009","2009","t","1523368","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2010","2010","ha","302852","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2010","2010","kg/ha","5011.7","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2010","2010","t","1517805","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2011","2011","ha","304334","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2011","2011","kg/ha","5854.9","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2011","2011","t","1781837","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2012","2012","ha","308179","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2012","2012","kg/ha","4138.8","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2012","2012","t","1275498","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2013","2013","ha","297286","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2013","2013","kg/ha","5374.3","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2013","2013","t","1597706.42","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2014","2014","ha","304645","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2014","2014","kg/ha","5921.7","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2014","2014","t","1804018.24","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2015","2015","ha","302965","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2015","2015","kg/ha","5696.2","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2015","2015","t","1725736.81","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2016","2016","ha","315088","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2016","2016","kg/ha","6253.4","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2016","2016","t","1970363.6","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2017","2017","ha","295029","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2017","2017","kg/ha","4871.2","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2017","2017","t","1437143","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2018","2018","ha","294290","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2018","2018","kg/ha","4645.3","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2018","2018","t","1367060","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2019","2019","ha","278340","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2019","2019","kg/ha","5737.2","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2019","2019","t","1596880","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2020","2020","ha","279020","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2020","2020","kg/ha","5923.4","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2020","2020","t","1652740","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2021","2021","ha","279860","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2021","2021","kg/ha","5529.9","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2021","2021","t","1547600","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2022","2022","ha","295510","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2022","2022","kg/ha","5795.2","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2022","2022","t","1712530","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2023","2023","ha","281980","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","2023","2023","kg/ha","6187.7","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2023","2023","t","1744820","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2000","2000","ha","213100","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2000","2000","kg/ha","7919.8","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2000","2000","t","1687700","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2001","2001","ha","181100","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2001","2001","kg/ha","8047.5","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2001","2001","t","1457400","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2002","2002","ha","202400","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2002","2002","kg/ha","8275.7","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2002","2002","t","1675000","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2003","2003","ha","191216","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2003","2003","kg/ha","8578.6","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2003","2003","t","1640364","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2004","2004","ha","213035","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2004","2004","kg/ha","8980.6","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2004","2004","t","1913177","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2005","2005","ha","213748","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2005","2005","kg/ha","8273.3","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2005","2005","t","1768410","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2006","2006","ha","201330","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2006","2006","kg/ha","8254.9","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2006","2006","t","1661958","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2007","2007","ha","199897","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2007","2007","kg/ha","7890.8","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2007","2007","t","1577342","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2008","2008","ha","211270","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2008","2008","kg/ha","8758.5","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2008","2008","t","1850406","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2009","2009","ha","201768","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2009","2009","kg/ha","9465.2","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2009","2009","t","1909768","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2010","2010","ha","209532","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2010","2010","kg/ha","8827.2","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2010","2010","t","1849584","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2011","2011","ha","200813","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2011","2011","kg/ha","8404.6","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2011","2011","t","1687749","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2012","2012","ha","217060","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2012","2012","kg/ha","8452.2","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2012","2012","t","1834624","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2013","2013","ha","201854","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2013","2013","kg/ha","8934.9","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2013","2013","t","1803550","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2014","2014","ha","211900","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2014","2014","kg/ha","9412.9","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2014","2014","t","1994600","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2015","2015","ha","201628","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5412","Yield","0111","Wheat","2015","2015","kg/ha","10015.2","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2015","2015","t","2019347","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2016","2016","ha","206284","A","Official figure",""
